code,name,system,signal,entry_signal,exit_signal,watch_signal,close,high,n_high,n_low,n_high_ratio,atr,entry_price
MPC,MPC,System1(단기),진입,True,False,False,358.46,360.1,357.2,290.36,1.008,11.45,
MPC,MPC,System2(중장기),진입,True,False,False,358.46,360.1,357.2,290.36,1.008,11.45,
MKC,MKC,System1(단기),관심,False,False,True,54.43,54.72,54.75,50.4,0.999,1.5,
MKC,MKC,System2(중장기),관심,False,False,True,54.43,54.72,54.75,49.69,0.999,1.5,
MDT,MDT,System1(단기),확정,False,False,True,91.17,91.39,91.61,83.84,0.998,2.03,91.71
MDT,MDT,System2(중장기),확정,False,False,True,91.17,91.39,91.61,81.49,0.998,2.03,91.71
MRK,MRK,System1(단기),관심,False,False,True,134.53,135.43,135.68,126.22,0.998,3.14,
MRK,MRK,System2(중장기),관심,False,False,True,134.53,135.43,135.68,124.1,0.998,3.14,
NDAQ,NDAQ,System1(단기),관심,False,False,True,96.66,97.9,97.73,93.19,1.002,2.11,
NDAQ,NDAQ,System2(중장기),관심,False,False,True,96.66,97.9,97.73,89.51,1.002,2.11,
NFLX,NFLX,System1(단기),관심,False,False,True,78.18,78.73,78.4,71.11,1.004,2.2,
NEM,NEM,System1(단기),관심,False,False,True,118.68,119.17,120.19,91.85,0.992,3.93,
NEM,NEM,System2(중장기),관심,False,False,True,118.68,119.17,120.19,88.75,0.992,3.93,
NOC,NOC,System1(단기),진입,True,False,False,582.17,583.76,581.59,530.08,1.004,14.86,
NOC,NOC,System2(중장기),진입,True,False,False,582.17,583.76,581.59,479.02,1.004,14.86,
NVDA,NVDA,System1(단기),관심,False,False,True,225.51,227.49,227.23,194.95,1.001,7.13,
OMC,OMC,System1(단기),관심,False,False,True,87.5,88.43,88.4,78.1,1.0,2.96,
OMC,OMC,System2(중장기),관심,False,False,True,87.5,88.43,88.4,76.46,1.0,2.96,
OKE,OKE,System1(단기),관심,False,False,True,94.56,94.94,94.75,83.48,1.002,2.41,
OKE,OKE,System2(중장기),관심,False,False,True,94.56,94.94,94.75,83.48,1.002,2.41,
PLTR,PLTR,System1(단기),관심,False,False,True,176.62,180.18,179.91,119.62,1.002,8.4,
PLTR,PLTR,System2(중장기),관심,False,False,True,176.62,180.18,179.91,117.89,1.002,8.4,
PANW,PANW,System1(단기),관심,False,False,True,387.36,397.31,398.88,319.48,0.996,14.75,
PANW,PANW,System2(중장기),관심,False,False,True,387.36,397.31,398.88,308.54,0.996,14.75,
PSKY,PSKY,System1(단기),확정,False,False,True,10.01,10.19,10.05,7.62,1.013,0.38,10.06
PAYX,PAYX,System1(단기),관심,False,False,True,122.4,125.9,125.65,113.8,1.002,3.68,
PAYX,PAYX,System2(중장기),관심,False,False,True,122.4,125.9,125.65,108.25,1.002,3.68,
PYPL,PYPL,System1(단기),관심,False,False,True,59.9,60.65,60.76,56.57,0.998,1.4,
